Code_Commune;Poste_source
2168;526.0
2169;1469.0
2170;527.0
2171;1202.0
2172;539.0
2173;660.0
2174;1807.0
2175;265.0
2176;1807.0
2177;235.0
2178;235.0
2179;1202.0
2180;619.0
2181;1449.0
2182;1469.0
2183;1807.0
2184;527.0
2185;691.0
2186;526.0
2187;526.0
2188;525.0
2189;1449.0
2190;265.0
2191;619.0
2192;691.0
2193;2185.0
2194;1469.0
2195;265.0
2196;619.0
2197;570.0
2198;265.0
2199;518.0
2200;1449.0
2201;659.0
2203;2185.0
2204;1449.0
2205;1807.0
2206;640.0
2207;660.0
2208;1202.0
2209;800.0
2210;265.0
2211;1203.0
2212;1911.0
2213;800.0
2214;2186.0
2215;1203.0
2216;691.0
2217;660.0
2218;235.0
2219;660.0
2220;2185.0
2221;690.0
2222;1911.0
2223;526.0
2224;1202.0
2225;691.0
2226;539.0
2227;2185.0
2228;800.0
2229;235.0
2230;265.0
2231;619.0
2232;667.0
2233;2185.0
2234;1203.0
2235;1203.0
2236;265.0
2237;1469.0
2238;619.0
2239;526.0
2240;1473.0
2241;691.0
2242;690.0
2243;265.0
2244;525.0
2245;265.0
2246;518.0
2248;1469.0
2249;2185.0
2250;1202.0
2251;1449.0
2252;1202.0
2253;265.0
2254;659.0
2255;1202.0
2256;1449.0
2257;2186.0
2258;691.0
2259;667.0
2260;1911.0
2261;1469.0
2262;1911.0
2263;1202.0
2264;1449.0
2265;1449.0
2266;1449.0
2267;539.0
2268;690.0
2269;525.0
2270;518.0
2271;1202.0
2272;539.0
2273;518.0
2274;1449.0
2275;2187.0
2276;570.0
2277;265.0
2278;2187.0
2279;526.0
2280;526.0
2281;1602.0
2282;235.0
2283;1469.0
2284;570.0
2286;525.0
2287;2186.0
2288;666.0
2289;526.0
2290;526.0
2291;666.0
2292;526.0
2293;1473.0
2294;619.0
2295;570.0
2296;2186.0
2297;526.0
2298;525.0
2299;1203.0
2301;1807.0
2302;691.0
2303;666.0
2304;1911.0
2305;2185.0
2306;527.0
2307;691.0
2308;525.0
2309;235.0
2310;640.0
2311;1807.0
2312;570.0
2313;640.0
